
[+] General Parameters:
Training data:	task3_train_norm.txt
Train-Validation split: 0.8
Feature vector representation: Dense.
Ranking method:	Coordinate Ascent
Feature description file:	features.txt
Train metric:	NDCG@20
Test metric:	NDCG@20
Feature normalization: No

[+] Coordinate Ascent's Parameters:
No. of random restarts: 5
No. of iterations to search in each direction: 25
Tolerance: 0.001
Regularization: No

Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]... [Done.]            
(7033 ranked lists, 75057 entries read)
Initializing... [Done]
---------------------------
Training starts...
---------------------------
[+] Random restart #1/5...
Shuffling features' order... [Done.]
Optimizing weight vector... 
------------------------------
Feature | weight   | NDCG@20 | 
------------------------------
48      | +0.0191  | 0.6951  | 
48      | +0.0351  | 0.6951  | 
146     | +0.005   | 0.6951  | 
146     | +0.007   | 0.6952  | 
201     | +0.0109  | 0.6952  | 
201     | +0.0189  | 0.6952  | 
201     | +0.0669  | 0.6953  | 
201     | +0.1309  | 0.6954  | 
201     | +0.2589  | 0.6955  | 
201     | +0.5149  | 0.6956  | 
201     | +1.0269  | 0.696   | 
201     | +2.0509  | 0.6963  | 
201     | +4.0989  | 0.6967  | 
201     | +8.1949  | 0.6967  | 
201     | +16.3869 | 0.6968  | 
21      | +0.0017  | 0.6968  | 
21      | +0.0932  | 0.6968  | 
21      | +0.1862  | 0.6968  | 
21      | +0.3722  | 0.6969  | 
21      | +0.7443  | 0.6969  | 
21      | +1.4883  | 0.6971  | 
21      | +2.9764  | 0.6972  | 
21      | +5.9526  | 0.6975  | 
21      | +11.9049 | 0.6982  | 
21      | +23.8097 | 0.6985  | 
21      | +47.6191 | 0.6986  | 
21      | +95.238  | 0.6987  | 
134     | +0.0     | 0.6988  | 
95      | +1.0E-4  | 0.6988  | 
95      | +1.0E-4  | 0.6988  | 
40      | +0.0     | 0.6989  | 
40      | +0.001   | 0.6991  | 
40      | +0.0019  | 0.6993  | 
115     | +0.0     | 0.6993  | 
