
[+] General Parameters:
Training data:	task3_train_norm.txt
Train-Validation split: 0.8
Feature vector representation: Dense.
Ranking method:	LambdaRank
Feature description file:	features.txt
Train metric:	NDCG@20
Test metric:	NDCG@20
Feature normalization: No

[+] LambdaRank's Parameters:
No. of epochs: 100
No. of hidden layers: 1
No. of hidden nodes per layer: 10
Learning rate: 5.0E-5

Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]... [Done.]            
(7033 ranked lists, 75057 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | NDCG@20-T | NDCG@20-V | 
        |   pairs        |           |           | 
--------------------------------------------------
1       | 0.2477         | 0.6627    | 0.6629    | 
2       | 0.2476         | 0.6628    | 0.6629    | 
3       | 0.2476         | 0.663     | 0.6629    | 
4       | 0.2475         | 0.6631    | 0.6631    | 
5       | 0.2475         | 0.6631    | 0.6633    | 
6       | 0.2475         | 0.6633    | 0.6635    | 
7       | 0.2473         | 0.6635    | 0.6638    | 
8       | 0.2472         | 0.6639    | 0.6641    | 
9       | 0.2472         | 0.664     | 0.6641    | 
10      | 0.2471         | 0.6641    | 0.6643    | 
11      | 0.247          | 0.6643    | 0.6643    | 
12      | 0.247          | 0.6645    | 0.6641    | 
13      | 0.2469         | 0.6648    | 0.6646    | 
14      | 0.2468         | 0.6651    | 0.6646    | 
15      | 0.2468         | 0.6653    | 0.6646    | 
16      | 0.2467         | 0.6655    | 0.6647    | 
17      | 0.2466         | 0.6656    | 0.6649    | 
18      | 0.2465         | 0.6659    | 0.6649    | 
19      | 0.2464         | 0.666     | 0.6651    | 
20      | 0.2464         | 0.666     | 0.6654    | 
21      | 0.2463         | 0.6662    | 0.6656    | 
22      | 0.2462         | 0.6664    | 0.6657    | 
23      | 0.2461         | 0.6664    | 0.6658    | 
24      | 0.2461         | 0.6666    | 0.6661    | 
25      | 0.246          | 0.6667    | 0.6663    | 
26      | 0.246          | 0.6671    | 0.6666    | 
27      | 0.2458         | 0.6672    | 0.6666    | 
28      | 0.2457         | 0.6675    | 0.6667    | 
29      | 0.2457         | 0.6676    | 0.6667    | 
30      | 0.2457         | 0.6678    | 0.6669    | 
31      | 0.2455         | 0.6679    | 0.667     | 
32      | 0.2454         | 0.6679    | 0.6671    | 
33      | 0.2454         | 0.668     | 0.6674    | 
34      | 0.2454         | 0.6683    | 0.6674    | 
35      | 0.2453         | 0.6685    | 0.6677    | 
36      | 0.2452         | 0.6687    | 0.6678    | 
37      | 0.2452         | 0.6688    | 0.6678    | 
38      | 0.2452         | 0.6688    | 0.6677    | 
39      | 0.2451         | 0.6689    | 0.6679    | 
40      | 0.245          | 0.6691    | 0.6681    | 
41      | 0.245          | 0.6692    | 0.6683    | 
42      | 0.2449         | 0.6693    | 0.6683    | 
43      | 0.2449         | 0.6695    | 0.6684    | 
44      | 0.2448         | 0.6697    | 0.6687    | 
45      | 0.2447         | 0.6698    | 0.6688    | 
46      | 0.2447         | 0.6699    | 0.6689    | 
47      | 0.2446         | 0.6699    | 0.6691    | 
48      | 0.2445         | 0.6702    | 0.6691    | 
49      | 0.2445         | 0.6705    | 0.6691    | 
50      | 0.2444         | 0.6706    | 0.6693    | 
51      | 0.2443         | 0.6707    | 0.6694    | 
52      | 0.2442         | 0.6709    | 0.6697    | 
53      | 0.2442         | 0.6711    | 0.6699    | 
54      | 0.2441         | 0.6712    | 0.6699    | 
55      | 0.2441         | 0.6713    | 0.6703    | 
56      | 0.2439         | 0.6713    | 0.6704    | 
57      | 0.2439         | 0.6714    | 0.6707    | 
58      | 0.2438         | 0.6714    | 0.6707    | 
59      | 0.2438         | 0.6715    | 0.6707    | 
60      | 0.2438         | 0.6716    | 0.6708    | 
61      | 0.2438         | 0.6718    | 0.6709    | 
62      | 0.2437         | 0.672     | 0.6709    | 
63      | 0.2437         | 0.6721    | 0.671     | 
64      | 0.2436         | 0.6722    | 0.6712    | 
65      | 0.2435         | 0.6722    | 0.6713    | 
66      | 0.2436         | 0.6724    | 0.6714    | 
67      | 0.2433         | 0.6728    | 0.6716    | 
68      | 0.2432         | 0.6728    | 0.6719    | 
69      | 0.2432         | 0.673     | 0.6718    | 
70      | 0.2432         | 0.6731    | 0.6719    | 
71      | 0.243          | 0.6732    | 0.672     | 
72      | 0.2428         | 0.6734    | 0.6723    | 
73      | 0.2428         | 0.6736    | 0.6724    | 
74      | 0.2427         | 0.6738    | 0.6726    | 
75      | 0.2427         | 0.6738    | 0.6727    | 
76      | 0.2426         | 0.6739    | 0.6729    | 
77      | 0.2425         | 0.674     | 0.673     | 
78      | 0.2425         | 0.674     | 0.673     | 
79      | 0.2423         | 0.6743    | 0.6732    | 
80      | 0.2423         | 0.6745    | 0.6734    | 
81      | 0.2422         | 0.6746    | 0.6733    | 
82      | 0.2422         | 0.6748    | 0.6734    | 
83      | 0.2422         | 0.6748    | 0.6737    | 
84      | 0.2421         | 0.675     | 0.6738    | 
85      | 0.2421         | 0.6751    | 0.6739    | 
86      | 0.2421         | 0.6753    | 0.6739    | 
87      | 0.242          | 0.6755    | 0.6742    | 
88      | 0.242          | 0.6756    | 0.6741    | 
89      | 0.242          | 0.6757    | 0.6741    | 
90      | 0.242          | 0.6758    | 0.6742    | 
91      | 0.242          | 0.6759    | 0.6742    | 
92      | 0.2419         | 0.676     | 0.6743    | 
93      | 0.2418         | 0.6761    | 0.6743    | 
94      | 0.2417         | 0.6762    | 0.6745    | 
95      | 0.2416         | 0.6764    | 0.6744    | 
96      | 0.2415         | 0.6766    | 0.6747    | 
97      | 0.2414         | 0.6768    | 0.6748    | 
98      | 0.2414         | 0.677     | 0.675     | 
99      | 0.2414         | 0.6771    | 0.6751    | 
100     | 0.2413         | 0.6772    | 0.6751    | 
--------------------------------------------------
Finished sucessfully.
NDCG@20 on training data: 0.6772
NDCG@20 on validation data: 0.6751
---------------------------------
