
[+] General Parameters:
Training data:	task3_train_norm.txt
Train-Validation split: 0.8
Feature vector representation: Dense.
Ranking method:	ListNet
Feature description file:	features.txt
Train metric:	NDCG@20
Test metric:	NDCG@20
Feature normalization: No

[+] ListNet's Parameters:
No. of epochs: 1500
Learning rate: 1.0E-5

Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]... [Done.]            
(7033 ranked lists, 75057 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | C.E. Loss      | NDCG@20-T | NDCG@20-V | 
--------------------------------------------------
1       | 0.0            | 0.6808    | 0.6773    | 
2       | 0.0            | 0.6821    | 0.6786    | 
3       | 0.0            | 0.6839    | 0.6792    | 
4       | 0.0            | 0.6851    | 0.681     | 
5       | 0.0            | 0.6861    | 0.6827    | 
6       | 0.0            | 0.6874    | 0.6837    | 
7       | 0.0            | 0.6885    | 0.6854    | 
8       | 0.0            | 0.6894    | 0.6867    | 
9       | 0.0            | 0.6902    | 0.6881    | 
10      | 0.0            | 0.6913    | 0.6885    | 
11      | 0.0            | 0.6926    | 0.689     | 
12      | 0.0            | 0.6937    | 0.6896    | 
13      | 0.0            | 0.6945    | 0.6905    | 
14      | 0.0            | 0.6951    | 0.6912    | 
15      | 0.0            | 0.6958    | 0.6918    | 
16      | 0.0            | 0.6963    | 0.6928    | 
17      | 0.0            | 0.6968    | 0.6935    | 
18      | 0.0            | 0.6975    | 0.6938    | 
19      | 0.0            | 0.6976    | 0.6945    | 
20      | 0.0            | 0.6983    | 0.6953    | 
21      | 0.0            | 0.699     | 0.6963    | 
22      | 0.0            | 0.6996    | 0.6965    | 
23      | 0.0            | 0.7       | 0.6974    | 
24      | 0.0            | 0.7003    | 0.698     | 
25      | 0.0            | 0.7009    | 0.6987    | 
26      | 0.0            | 0.7017    | 0.6991    | 
27      | 0.0            | 0.7024    | 0.6993    | 
28      | 0.0            | 0.7029    | 0.6998    | 
29      | 0.0            | 0.7033    | 0.7007    | 
30      | 0.0            | 0.7037    | 0.7012    | 
31      | 0.0            | 0.704     | 0.7017    | 
32      | 0.0            | 0.704     | 0.702     | 
33      | 0.0            | 0.7046    | 0.7023    | 
34      | 0.0            | 0.7049    | 0.7023    | 
35      | 0.0            | 0.7053    | 0.7026    | 
36      | 0.0            | 0.7054    | 0.7025    | 
37      | 0.0            | 0.7058    | 0.7032    | 
38      | 0.0            | 0.7062    | 0.7033    | 
39      | 0.0            | 0.7063    | 0.7039    | 
40      | 0.0            | 0.7065    | 0.7043    | 
41      | 0.0            | 0.7069    | 0.7047    | 
42      | 0.0            | 0.7072    | 0.7051    | 
43      | 0.0            | 0.7074    | 0.7053    | 
44      | 0.0            | 0.7078    | 0.7049    | 
45      | 0.0            | 0.708     | 0.7048    | 
46      | 0.0            | 0.7083    | 0.7052    | 
47      | 0.0            | 0.7085    | 0.7054    | 
48      | 0.0            | 0.7087    | 0.7054    | 
49      | 0.0            | 0.7088    | 0.7057    | 
50      | 0.0            | 0.7089    | 0.7058    | 
51      | 0.0            | 0.709     | 0.706     | 
52      | 0.0            | 0.7091    | 0.7061    | 
53      | 0.0            | 0.7093    | 0.706     | 
54      | 0.0            | 0.7094    | 0.706     | 
55      | 0.0            | 0.7095    | 0.7062    | 
56      | 0.0            | 0.7099    | 0.7065    | 
57      | 0.0            | 0.7099    | 0.7066    | 
58      | 0.0            | 0.7101    | 0.7071    | 
59      | 0.0            | 0.7102    | 0.7075    | 
60      | 0.0            | 0.7104    | 0.7077    | 
61      | 0.0            | 0.7105    | 0.7079    | 
62      | 0.0            | 0.7108    | 0.7078    | 
63      | 0.0            | 0.711     | 0.7083    | 
64      | 0.0            | 0.7112    | 0.7084    | 
65      | 0.0            | 0.7112    | 0.7083    | 
66      | 0.0            | 0.7113    | 0.7087    | 
67      | 0.0            | 0.7114    | 0.7089    | 
68      | 0.0            | 0.7116    | 0.709     | 
69      | 0.0            | 0.7116    | 0.7092    | 
70      | 0.0            | 0.7119    | 0.7096    | 
71      | 0.0            | 0.712     | 0.71      | 
72      | 0.0            | 0.7121    | 0.7104    | 
73      | 0.0            | 0.7124    | 0.7108    | 
74      | 0.0            | 0.7125    | 0.7109    | 
75      | 0.0            | 0.7126    | 0.7109    | 
76      | 0.0            | 0.7127    | 0.7112    | 
77      | 0.0            | 0.7128    | 0.7111    | 
78      | 0.0            | 0.7128    | 0.7112    | 
79      | 0.0            | 0.713     | 0.7115    | 
80      | 0.0            | 0.7131    | 0.7117    | 
81      | 0.0            | 0.7132    | 0.7116    | 
82      | 0.0            | 0.7133    | 0.7118    | 
83      | 0.0            | 0.7134    | 0.712     | 
84      | 0.0            | 0.7134    | 0.712     | 
85      | 0.0            | 0.7137    | 0.7119    | 
86      | 0.0            | 0.7138    | 0.7123    | 
87      | 0.0            | 0.7137    | 0.7123    | 
88      | 0.0            | 0.7137    | 0.7123    | 
89      | 0.0            | 0.714     | 0.7124    | 
90      | 0.0            | 0.7141    | 0.7129    | 
91      | 0.0            | 0.714     | 0.713     | 
92      | 0.0            | 0.7141    | 0.7134    | 
93      | 0.0            | 0.7141    | 0.7135    | 
94      | 0.0            | 0.7141    | 0.7135    | 
95      | 0.0            | 0.7143    | 0.7135    | 
96      | 0.0            | 0.7143    | 0.7134    | 
