
[+] General Parameters:
Training data:	task3_train_norm.txt
Train-Validation split: 0.8
Feature vector representation: Dense.
Ranking method:	MART
Feature description file:	features.txt
Train metric:	NDCG@20
Test metric:	NDCG@20
Feature normalization: No

[+] MART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 256
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]... [Done.]            
(7033 ranked lists, 75057 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@20-T | NDCG@20-V | 
---------------------------------
1       | 0.7014    | 0.7026    | 
2       | 0.7085    | 0.71      | 
3       | 0.7142    | 0.7145    | 
4       | 0.717     | 0.7184    | 
5       | 0.719     | 0.7172    | 
6       | 0.7231    | 0.7206    | 
7       | 0.724     | 0.7219    | 
8       | 0.7264    | 0.7237    | 
9       | 0.7282    | 0.7251    | 
10      | 0.729     | 0.7273    | 
11      | 0.7309    | 0.7293    | 
12      | 0.7326    | 0.729     | 
13      | 0.7321    | 0.7298    | 
14      | 0.7322    | 0.7293    | 
15      | 0.7333    | 0.7304    | 
16      | 0.7337    | 0.7313    | 
17      | 0.7343    | 0.733     | 
18      | 0.7348    | 0.7353    | 
19      | 0.7352    | 0.7348    | 
20      | 0.7362    | 0.7351    | 
21      | 0.7362    | 0.7344    | 
22      | 0.7367    | 0.7347    | 
23      | 0.7373    | 0.7349    | 
24      | 0.7368    | 0.7354    | 
25      | 0.7381    | 0.7359    | 
26      | 0.7384    | 0.7366    | 
27      | 0.738     | 0.737     | 
28      | 0.7392    | 0.7375    | 
29      | 0.7403    | 0.7387    | 
30      | 0.7404    | 0.7393    | 
31      | 0.7407    | 0.7392    | 
32      | 0.7408    | 0.7394    | 
33      | 0.7408    | 0.7382    | 
34      | 0.7409    | 0.7398    | 
35      | 0.7414    | 0.7395    | 
36      | 0.7417    | 0.7393    | 
37      | 0.7417    | 0.7394    | 
38      | 0.742     | 0.7402    | 
39      | 0.7424    | 0.7396    | 
40      | 0.7426    | 0.74      | 
41      | 0.7427    | 0.7399    | 
42      | 0.743     | 0.7398    | 
43      | 0.7437    | 0.7395    | 
44      | 0.7436    | 0.7394    | 
45      | 0.7439    | 0.7402    | 
46      | 0.7442    | 0.7402    | 
47      | 0.7445    | 0.7401    | 
48      | 0.7445    | 0.7401    | 
49      | 0.7449    | 0.7412    | 
50      | 0.7451    | 0.7415    | 
51      | 0.7454    | 0.7414    | 
52      | 0.7457    | 0.7414    | 
53      | 0.7459    | 0.7406    | 
54      | 0.7458    | 0.7414    | 
55      | 0.7461    | 0.7411    | 
56      | 0.7465    | 0.7412    | 
57      | 0.7466    | 0.7417    | 
58      | 0.7469    | 0.7431    | 
59      | 0.747     | 0.7432    | 
60      | 0.7472    | 0.7427    | 
61      | 0.7474    | 0.7429    | 
62      | 0.7475    | 0.7429    | 
63      | 0.7477    | 0.7432    | 
64      | 0.7478    | 0.7427    | 
65      | 0.748     | 0.7429    | 
66      | 0.7481    | 0.7427    | 
67      | 0.7482    | 0.7422    | 
68      | 0.7481    | 0.7421    | 
69      | 0.748     | 0.743     | 
70      | 0.7485    | 0.743     | 
71      | 0.7487    | 0.7433    | 
72      | 0.7486    | 0.7435    | 
73      | 0.7485    | 0.7434    | 
74      | 0.7485    | 0.743     | 
75      | 0.7488    | 0.7429    | 
76      | 0.7489    | 0.7425    | 
77      | 0.7489    | 0.7425    | 
78      | 0.7489    | 0.7421    | 
79      | 0.7491    | 0.7424    | 
80      | 0.7492    | 0.742     | 
81      | 0.7493    | 0.7424    | 
82      | 0.7495    | 0.7424    | 
83      | 0.7496    | 0.7423    | 
84      | 0.7496    | 0.7423    | 
85      | 0.7497    | 0.7422    | 
86      | 0.7502    | 0.7427    | 
87      | 0.7502    | 0.7426    | 
88      | 0.7504    | 0.7425    | 
89      | 0.7506    | 0.7423    | 
90      | 0.7505    | 0.7424    | 
91      | 0.7508    | 0.7427    | 
92      | 0.7507    | 0.7426    | 
93      | 0.7509    | 0.7427    | 
94      | 0.7511    | 0.7428    | 
95      | 0.7512    | 0.7431    | 
96      | 0.7512    | 0.7428    | 
97      | 0.7514    | 0.7429    | 
98      | 0.7516    | 0.7425    | 
99      | 0.7514    | 0.7427    | 
100     | 0.7517    | 0.7427    | 
101     | 0.752     | 0.7429    | 
102     | 0.7518    | 0.7431    | 
103     | 0.7516    | 0.7429    | 
104     | 0.7516    | 0.7427    | 
105     | 0.7519    | 0.7429    | 
106     | 0.7521    | 0.743     | 
107     | 0.7519    | 0.7429    | 
108     | 0.7521    | 0.7426    | 
109     | 0.7521    | 0.7435    | 
110     | 0.7524    | 0.7434    | 
111     | 0.7522    | 0.7436    | 
112     | 0.7522    | 0.7436    | 
