
[+] General Parameters:
Training data:	task3_train_norm.txt
Train-Validation split: 0.8
Feature vector representation: Dense.
Ranking method:	RankBoost
Feature description file:	features.txt
Train metric:	NDCG@20
Test metric:	NDCG@20
Feature normalization: No

[+] RankBoost's Parameters:
No. of rounds: 300
No. of threshold candidates: 10

Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]... [Done.]            
(7033 ranked lists, 75057 entries read)
Initializing... [Done]
------------------------------------------
Training starts...
--------------------------------------------------------------------
#iter   | Sel. F.  | Threshold | Error     | NDCG@20-T | NDCG@20-V | 
--------------------------------------------------------------------
1       | 181      | 0.0656    | 0.0806    | 0.8269    | 0.6724    | 
2       | 113      | 0.0827    | 0.077     | 0.8123    | 0.6885    | 
3       | 150      | 0.7895    | 0.0705    | 0.7918    | 0.6917    | 
4       | 4        | 0.2       | 0.0676    | 0.772     | 0.6978    | 
5       | 244      | 0.9796    | 0.0681    | 0.7356    | 0.6976    | 
6       | 15       | 0.0929    | 0.0653    | 0.7248    | 0.6969    | 
7       | 30       | 0.1291    | 0.0613    | 0.7253    | 0.7016    | 
8       | 113      | 0.0827    | 0.0552    | 0.7269    | 0.7035    | 
9       | 134      | 0.2941    | 0.0541    | 0.7179    | 0.7029    | 
10      | 181      | 0.0656    | 0.0539    | 0.717     | 0.7026    | 
11      | 129      | 0.2909    | 0.051     | 0.7156    | 0.7052    | 
12      | 113      | 0.2481    | 0.05      | 0.717     | 0.7064    | 
13      | 142      | 0.1       | 0.0477    | 0.7128    | 0.7055    | 
14      | 4        | 0.1       | 0.0475    | 0.7126    | 0.7068    | 
15      | 77       | 0.2961    | 0.0451    | 0.7142    | 0.7087    | 
16      | 113      | 0.2481    | 0.0442    | 0.7157    | 0.7103    | 
17      | 153      | 0.0996    | 0.0431    | 0.7161    | 0.7126    | 
18      | 31       | 0.0969    | 0.0431    | 0.7137    | 0.7114    | 
19      | 212      | 0.0645    | 0.0417    | 0.7153    | 0.7134    | 
20      | 113      | 0.2481    | 0.0398    | 0.7161    | 0.7142    | 
21      | 10       | 0.0998    | 0.0387    | 0.7162    | 0.7146    | 
22      | 101      | 0.0827    | 0.0374    | 0.7167    | 0.7164    | 
23      | 244      | 0.9796    | 0.0373    | 0.7145    | 0.7153    | 
24      | 129      | 0.6788    | 0.0373    | 0.715     | 0.7154    | 
25      | 67       | 0.4       | 0.0374    | 0.7151    | 0.7152    | 
26      | 134      | 0.2941    | 0.0366    | 0.7135    | 0.7132    | 
27      | 3        | 0.1       | 0.0357    | 0.7143    | 0.7136    | 
28      | 150      | 0.3948    | 0.0353    | 0.7151    | 0.7144    | 
29      | 122      | 0.2581    | 0.0336    | 0.7158    | 0.7148    | 
30      | 31       | 0.3877    | 0.0336    | 0.7153    | 0.714     | 
31      | 10       | 0.0998    | 0.0324    | 0.7155    | 0.7139    | 
32      | 113      | 0.2481    | 0.0314    | 0.7158    | 0.714     | 
33      | 153      | 0.0996    | 0.031     | 0.7171    | 0.7147    | 
34      | 129      | 0.2909    | 0.0304    | 0.7176    | 0.7162    | 
35      | 191      | 0.1129    | 0.0303    | 0.7179    | 0.7172    | 
36      | 3        | 0.1       | 0.0299    | 0.7184    | 0.7173    | 
37      | 12       | 0.9       | 0.0295    | 0.7182    | 0.7175    | 
38      | 181      | 0.0656    | 0.0293    | 0.7182    | 0.7168    | 
39      | 113      | 0.2481    | 0.0271    | 0.7184    | 0.7171    | 
40      | 134      | 0.3922    | 0.027     | 0.7183    | 0.7173    | 
41      | 122      | 0.2581    | 0.0265    | 0.7186    | 0.7173    | 
