$ time java -jar RankLib-2.1-patched.jar -ranker 1 -metric2t NDCG@20 -gmax 4 -tvs 0.8 -feature features.txt -train task3_train_norm.txt 

[+] General Parameters:
Training data:	task3_train_norm.txt
Train-Validation split: 0.8
Feature vector representation: Dense.
Ranking method:	RankNet
Feature description file:	features.txt
Train metric:	NDCG@20
Test metric:	NDCG@20
Feature normalization: No

[+] RankNet's Parameters:
No. of epochs: 100
No. of hidden layers: 1
No. of hidden nodes per layer: 10
Learning rate: 5.0E-5

Reading feature file [task3_train_norm.txt]... [Done.]            
(7033 ranked lists, 75057 entries read)
Initializing... [Done]
-----------------------------------------
Training starts...
--------------------------------------------------
#epoch  | % mis-ordered  | NDCG@20-T | NDCG@20-V | 
        |   pairs        |           |           | 
--------------------------------------------------
1       | 0.2359         | 0.6773    | 0.6787    | 
2       | 0.2307         | 0.6821    | 0.6841    | 
3       | 0.2261         | 0.6854    | 0.6863    | 
4       | 0.2227         | 0.688     | 0.6866    | 
5       | 0.2207         | 0.689     | 0.6896    | 
6       | 0.2185         | 0.6909    | 0.6912    | 
7       | 0.2163         | 0.6923    | 0.6933    | 
8       | 0.2146         | 0.6936    | 0.6942    | 
9       | 0.2128         | 0.695     | 0.6949    | 
10      | 0.2113         | 0.6962    | 0.6954    | 
11      | 0.2108         | 0.697     | 0.6963    | 
12      | 0.2099         | 0.6977    | 0.6965    | 
13      | 0.2085         | 0.6989    | 0.6972    | 
14      | 0.2074         | 0.6997    | 0.6978    | 
15      | 0.2064         | 0.7007    | 0.6985    | 
16      | 0.2054         | 0.7015    | 0.7002    | 
17      | 0.2041         | 0.7023    | 0.7015    | 
18      | 0.203          | 0.7032    | 0.7024    | 
19      | 0.2018         | 0.704     | 0.7028    | 
20      | 0.2004         | 0.7046    | 0.7032    | 
21      | 0.199          | 0.7051    | 0.7039    | 
22      | 0.1976         | 0.7054    | 0.7041    | 
23      | 0.1964         | 0.7058    | 0.7053    | 
24      | 0.1946         | 0.7061    | 0.7055    | 
25      | 0.1933         | 0.7065    | 0.706     | 
26      | 0.1919         | 0.7071    | 0.7061    | 
27      | 0.1908         | 0.7078    | 0.7065    | 
28      | 0.1899         | 0.7084    | 0.7068    | 
29      | 0.1889         | 0.7091    | 0.707     | 
30      | 0.1877         | 0.7096    | 0.7071    | 
31      | 0.1865         | 0.71      | 0.7077    | 
32      | 0.1856         | 0.71      | 0.7078    | 
33      | 0.1848         | 0.7096    | 0.7069    | 
34      | 0.1841         | 0.7098    | 0.7067    | 
35      | 0.1834         | 0.71      | 0.7072    | 
36      | 0.1828         | 0.7102    | 0.7076    | 
37      | 0.1822         | 0.7101    | 0.7076    | 
38      | 0.1814         | 0.7102    | 0.7079    | 
39      | 0.1806         | 0.7103    | 0.7067    | 
40      | 0.1802         | 0.7104    | 0.7071    | 
41      | 0.1795         | 0.7107    | 0.7068    | 
42      | 0.179          | 0.7107    | 0.7068    | 
43      | 0.1787         | 0.7111    | 0.7075    | 
44      | 0.1782         | 0.7116    | 0.7075    | 
45      | 0.1778         | 0.7121    | 0.708     | 
46      | 0.1775         | 0.7126    | 0.7084    | 
47      | 0.1772         | 0.7128    | 0.7091    | 
48      | 0.1768         | 0.7132    | 0.7093    | 
49      | 0.1764         | 0.7138    | 0.7098    | 
50      | 0.1759         | 0.7142    | 0.7096    | 
51      | 0.176          | 0.7144    | 0.7102    | 
52      | 0.1758         | 0.7146    | 0.7102    | 
53      | 0.1757         | 0.7148    | 0.7103    | 
54      | 0.1755         | 0.7149    | 0.7105    | 
55      | 0.1752         | 0.7152    | 0.7104    | 
56      | 0.175          | 0.7154    | 0.7109    | 
57      | 0.1748         | 0.7155    | 0.7114    | 
58      | 0.1749         | 0.7156    | 0.7117    | 
59      | 0.1748         | 0.7161    | 0.7118    | 
60      | 0.1746         | 0.7162    | 0.7122    | 
61      | 0.1745         | 0.7165    | 0.7124    | 
62      | 0.1745         | 0.7167    | 0.7126    | 
63      | 0.1744         | 0.7167    | 0.7126    | 
64      | 0.1744         | 0.7169    | 0.7125    | 
65      | 0.1744         | 0.7169    | 0.7129    | 
66      | 0.1743         | 0.7167    | 0.7128    | 
67      | 0.1742         | 0.7168    | 0.7126    | 
68      | 0.1741         | 0.7169    | 0.7129    | 
69      | 0.1741         | 0.717     | 0.7129    | 
70      | 0.1741         | 0.7171    | 0.7129    | 
71      | 0.174          | 0.717     | 0.7131    | 
72      | 0.1739         | 0.717     | 0.713     | 
73      | 0.174          | 0.717     | 0.7128    | 
74      | 0.1739         | 0.7169    | 0.7125    | 
75      | 0.1739         | 0.7168    | 0.7127    | 
76      | 0.1739         | 0.7166    | 0.7127    | 
77      | 0.1739         | 0.7166    | 0.7126    | 
78      | 0.1739         | 0.7165    | 0.7128    | 
79      | 0.1739         | 0.7167    | 0.7127    | 
80      | 0.1738         | 0.7165    | 0.7128    | 
81      | 0.1738         | 0.7165    | 0.7127    | 
82      | 0.1738         | 0.7165    | 0.7128    | 
83      | 0.1739         | 0.7165    | 0.7125    | 
84      | 0.1739         | 0.7165    | 0.7124    | 
85      | 0.1739         | 0.7164    | 0.7125    | 
86      | 0.1738         | 0.7163    | 0.7125    | 
87      | 0.1739         | 0.7161    | 0.7125    | 
88      | 0.1739         | 0.7162    | 0.7126    | 
89      | 0.1739         | 0.7161    | 0.7127    | 
90      | 0.174          | 0.7162    | 0.7129    | 
91      | 0.174          | 0.7162    | 0.713     | 
92      | 0.1738         | 0.7164    | 0.7131    | 
93      | 0.1736         | 0.7163    | 0.7132    | 
94      | 0.1733         | 0.7164    | 0.7131    | 
95      | 0.1729         | 0.7165    | 0.7129    | 
96      | 0.1724         | 0.7165    | 0.7129    | 
97      | 0.1719         | 0.7166    | 0.7129    | 
98      | 0.1716         | 0.7167    | 0.7127    | 
99      | 0.1712         | 0.7167    | 0.7125    | 
100     | 0.171          | 0.7168    | 0.7121    | 
--------------------------------------------------
Finished sucessfully.
NDCG@20 on training data: 0.7163
NDCG@20 on validation data: 0.7132
---------------------------------

real	7m58.131s
user	8m0.441s
sys	0m0.440s

